Text Collection,# of Positive Labeled Documents,k,One Class Learning Threshold,F1 Score
CSTR,20,11,0.75,0.0000
CSTR,20,11,0.80,0.0000
CSTR,20,11,0.85,0.0000
CSTR,20,11,0.90,0.0000
CSTR,20,11,0.95,0.0000
CSTR,20,11,average+1sigma,0.0622
CSTR,20,11,average+2sigma,0.0514
CSTR,20,11,average+3sigma,0.0325
CSTR,20,11,average-1sigma,0.1216
CSTR,20,11,average-2sigma,0.1765
CSTR,20,11,average-3sigma,0.2443
CSTR,20,11,average,0.0822
CSTR,20,11,minimum,0.4201
CSTR,20,13,0.05,0.6248
CSTR,20,13,0.10,0.5005
CSTR,20,13,0.15,0.2546
CSTR,20,13,0.20,0.0545
CSTR,20,13,0.25,0.0019
CSTR,20,13,0.30,0.0000
CSTR,20,13,0.35,0.0000
CSTR,20,13,0.40,0.0000
CSTR,20,13,0.45,0.0000
CSTR,20,13,0.50,0.0000
CSTR,20,13,0.55,0.0000
CSTR,20,13,0.60,0.0000
CSTR,20,13,0.65,0.0000
CSTR,20,13,0.70,0.0000
CSTR,20,13,0.75,0.0000
CSTR,20,13,0.80,0.0000
CSTR,20,13,0.85,0.0000
CSTR,20,13,0.90,0.0000
CSTR,20,13,0.95,0.0000
CSTR,20,13,average+1sigma,0.0656
CSTR,20,13,average+2sigma,0.0520
CSTR,20,13,average+3sigma,0.0427
CSTR,20,13,average-1sigma,0.1365
CSTR,20,13,average-2sigma,0.1917
CSTR,20,13,average-3sigma,0.2544
CSTR,20,13,average,0.0846
CSTR,20,13,minimum,0.4423
CSTR,20,15,0.05,0.6555
CSTR,20,15,0.10,0.4488
CSTR,20,15,0.15,0.1857
CSTR,20,15,0.20,0.0292
CSTR,20,15,0.25,0.0019
CSTR,20,15,0.30,0.0000
CSTR,20,15,0.35,0.0000
CSTR,20,15,0.40,0.0000
CSTR,20,15,0.45,0.0000
CSTR,20,15,0.50,0.0000
CSTR,20,15,0.55,0.0000
CSTR,20,15,0.60,0.0000
CSTR,20,15,0.65,0.0000
CSTR,20,15,0.70,0.0000
CSTR,20,15,0.75,0.0000
CSTR,20,15,0.80,0.0000
CSTR,20,15,0.85,0.0000
CSTR,20,15,0.90,0.0000
CSTR,20,15,0.95,0.0000
CSTR,20,15,average+1sigma,0.0703
CSTR,20,15,average+2sigma,0.0521
CSTR,20,15,average+3sigma,0.0445
CSTR,20,15,average-1sigma,0.1446
CSTR,20,15,average-2sigma,0.1991
CSTR,20,15,average-3sigma,0.2692
CSTR,20,15,average,0.0886
CSTR,20,15,minimum,0.4659
CSTR,20,17,0.05,0.6605
CSTR,20,17,0.10,0.3776
CSTR,20,17,0.15,0.1489
CSTR,20,17,0.20,0.0019
CSTR,20,17,0.25,0.0000
CSTR,20,17,0.30,0.0000
CSTR,20,17,0.35,0.0000
CSTR,20,17,0.40,0.0000
CSTR,20,17,0.45,0.0000
CSTR,20,17,0.50,0.0000
CSTR,20,17,0.55,0.0000
CSTR,20,17,0.60,0.0000
CSTR,20,17,0.65,0.0000
CSTR,20,17,0.70,0.0000
CSTR,20,17,0.75,0.0000
CSTR,20,17,0.80,0.0000
CSTR,20,17,0.85,0.0000
CSTR,20,17,0.90,0.0000
CSTR,20,17,0.95,0.0000
CSTR,20,17,average+1sigma,0.0730
CSTR,20,17,average+2sigma,0.0549
CSTR,20,17,average+3sigma,0.0450
CSTR,20,17,average-1sigma,0.1800
CSTR,20,17,average-2sigma,0.2015
CSTR,20,17,average-3sigma,0.2822
CSTR,20,17,average,0.1007
CSTR,20,17,minimum,0.4880
CSTR,20,19,0.05,0.6602
CSTR,20,19,0.10,0.3172
CSTR,20,19,0.15,0.0685
CSTR,20,19,0.20,0.0019
CSTR,20,19,0.25,0.0000
CSTR,20,19,0.30,0.0000
CSTR,20,19,0.35,0.0000
CSTR,20,19,0.40,0.0000
CSTR,20,19,0.45,0.0000
CSTR,20,19,0.50,0.0000
CSTR,20,19,0.55,0.0000
CSTR,20,19,0.60,0.0000
CSTR,20,19,0.65,0.0000
CSTR,20,19,0.70,0.0000
CSTR,20,19,0.75,0.0000
CSTR,20,19,0.80,0.0000
CSTR,20,19,0.85,0.0000
CSTR,20,19,0.90,0.0000
CSTR,20,19,0.95,0.0000
CSTR,20,19,average+1sigma,0.0735
CSTR,20,19,average+2sigma,0.0591
CSTR,20,19,average+3sigma,0.0466
CSTR,20,19,average-1sigma,0.1809
CSTR,20,19,average-2sigma,0.2146
CSTR,20,19,average-3sigma,0.2934
CSTR,20,19,average,0.1008
CSTR,20,19,minimum,0.4929
CSTR,20,1,0.05,0.3675
CSTR,20,1,0.10,0.5221
CSTR,20,1,0.15,0.5989
CSTR,20,1,0.20,0.5861
CSTR,20,1,0.25,0.5457
CSTR,20,1,0.30,0.4950
CSTR,20,1,0.35,0.4114
CSTR,20,1,0.40,0.2896
CSTR,20,1,0.45,0.2252
CSTR,20,1,0.50,0.1788
CSTR,20,1,0.55,0.1303
CSTR,20,1,0.60,0.0577
CSTR,20,1,0.65,0.0462
CSTR,20,1,0.70,0.0303
CSTR,20,1,0.75,0.0227
CSTR,20,1,0.80,0.0227
CSTR,20,1,0.85,0.0227
CSTR,20,1,0.90,0.0043
CSTR,20,1,0.95,0.0043
CSTR,20,1,average+1sigma,0.0000
CSTR,20,1,average+2sigma,0.0000
CSTR,20,1,average+3sigma,0.0000
CSTR,20,1,average-1sigma,0.0000
CSTR,20,1,average-2sigma,0.0000
CSTR,20,1,average-3sigma,0.0000
CSTR,20,1,average,0.0000
CSTR,20,1,minimum,0.0000
CSTR,20,3,0.05,0.4033
CSTR,20,3,0.10,0.6230
CSTR,20,3,0.15,0.6134
CSTR,20,3,0.20,0.5194
CSTR,20,3,0.25,0.4075
CSTR,20,3,0.30,0.2599
CSTR,20,3,0.35,0.1852
CSTR,20,3,0.40,0.1043
CSTR,20,3,0.45,0.0290
CSTR,20,3,0.50,0.0218
CSTR,20,3,0.55,0.0093
CSTR,20,3,0.60,0.0093
CSTR,20,3,0.65,0.0056
CSTR,20,3,0.70,0.0019
CSTR,20,3,0.75,0.0000
CSTR,20,3,0.80,0.0000
CSTR,20,3,0.85,0.0000
CSTR,20,3,0.90,0.0000
CSTR,20,3,0.95,0.0000
CSTR,20,3,average+1sigma,0.0205
CSTR,20,3,average+2sigma,0.0188
CSTR,20,3,average+3sigma,0.0170
CSTR,20,3,average-1sigma,0.0251
CSTR,20,3,average-2sigma,0.0298
CSTR,20,3,average-3sigma,0.0354
CSTR,20,3,average,0.0252
CSTR,20,3,minimum,0.1337
CSTR,20,5,0.05,0.4533
CSTR,20,5,0.10,0.6586
CSTR,20,5,0.15,0.5459
CSTR,20,5,0.20,0.4055
CSTR,20,5,0.25,0.2884
CSTR,20,5,0.30,0.1395
CSTR,20,5,0.35,0.0703
