Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr21,kNN,3,5,0.04,1.2,1,0.2666,0.2819,0.8327
tr21,kNN,3,5,0.04,1.2,2,0.2650,0.2820,0.8364
tr21,kNN,3,5,0.04,1.2,3,0.2552,0.2866,0.8450
tr21,kNN,3,5,0.04,1.4,1,0.2693,0.2824,0.8317
tr21,kNN,3,5,0.04,1.4,2,0.2650,0.2820,0.8364
tr21,kNN,3,5,0.04,1.4,3,0.2652,0.2819,0.8345
tr21,kNN,3,5,0.04,2,1,0.2825,0.2874,0.8427
tr21,kNN,3,5,0.04,2,2,0.2848,0.2871,0.8413
tr21,kNN,3,5,0.04,2,3,0.2781,0.2836,0.8286
tr21,kNN,3,5,0.02,0.2,1,0.2537,0.2861,0.8600
tr21,kNN,3,5,0.02,0.2,2,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.02,0.2,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.02,0.6,1,0.2565,0.2864,0.8450
tr21,kNN,3,5,0.02,0.6,2,0.2553,0.2865,0.8514
tr21,kNN,3,5,0.02,0.6,3,0.2511,0.2867,0.8720
tr21,kNN,3,5,0.02,0.8,1,0.2638,0.2864,0.8467
tr21,kNN,3,5,0.02,0.8,2,0.2582,0.2859,0.8400
tr21,kNN,3,5,0.02,0.8,3,0.2564,0.2864,0.8450
tr21,kNN,3,5,0.02,1,1,0.2663,0.2817,0.8380
tr21,kNN,3,5,0.02,1,2,0.2582,0.2859,0.8400
tr21,kNN,3,5,0.02,1,3,0.2564,0.2864,0.8450
tr21,kNN,3,5,0.02,1.2,1,0.2683,0.2821,0.8327
tr21,kNN,3,5,0.02,1.2,2,0.2674,0.2822,0.8364
tr21,kNN,3,5,0.02,1.2,3,0.2564,0.2864,0.8450
tr21,kNN,3,5,0.02,1.4,1,0.2699,0.2817,0.8317
tr21,kNN,3,5,0.02,1.4,2,0.2674,0.2822,0.8364
tr21,kNN,3,5,0.02,1.4,3,0.2674,0.2820,0.8345
tr21,kNN,3,5,0.02,2,1,0.2854,0.2869,0.8427
tr21,kNN,3,5,0.02,2,2,0.2849,0.2863,0.8427
tr21,kNN,3,5,0.02,2,3,0.2795,0.2829,0.8286
tr21,kNN,3,10,0.1,0.2,1,0.2851,0.1328,0.7500
tr21,kNN,3,10,0.1,0.2,2,0.2856,0.1331,0.7500
tr21,kNN,3,10,0.1,0.2,3,0.2807,0.1286,0.7500
tr21,kNN,3,10,0.1,0.6,1,0.2839,0.1341,0.7516
tr21,kNN,3,10,0.1,0.6,2,0.2870,0.1350,0.7516
tr21,kNN,3,10,0.1,0.6,3,0.2851,0.1333,0.7500
tr21,kNN,3,10,0.1,0.8,1,0.2848,0.1359,0.7514
tr21,kNN,3,10,0.1,0.8,2,0.2855,0.1342,0.7514
tr21,kNN,3,10,0.1,0.8,3,0.2860,0.1347,0.7516
tr21,kNN,3,10,0.1,1,1,0.2863,0.1376,0.7513
tr21,kNN,3,10,0.1,1,2,0.2844,0.1359,0.7513
tr21,kNN,3,10,0.1,1,3,0.2859,0.1356,0.7513
tr21,kNN,3,10,0.1,1.2,1,0.2876,0.1400,0.7523
tr21,kNN,3,10,0.1,1.2,2,0.2851,0.1363,0.7523
tr21,kNN,3,10,0.1,1.2,3,0.2859,0.1356,0.7513
tr21,kNN,3,10,0.1,1.4,1,0.2883,0.1415,0.7542
tr21,kNN,3,10,0.1,1.4,2,0.2859,0.1377,0.7542
tr21,kNN,3,10,0.1,1.4,3,0.2863,0.1359,0.7523
tr21,kNN,3,10,0.1,2,1,0.2893,0.1509,0.7567
tr21,kNN,3,10,0.1,2,2,0.2858,0.1406,0.7558
tr21,kNN,3,10,0.1,2,3,0.2857,0.1386,0.7527
tr21,kNN,3,10,0.08,0.2,1,0.3157,0.2943,0.8521
tr21,kNN,3,10,0.08,0.2,2,0.3166,0.2946,0.8521
tr21,kNN,3,10,0.08,0.2,3,0.3069,0.2965,0.8625
tr21,kNN,3,10,0.08,0.6,1,0.3284,0.2977,0.8531
tr21,kNN,3,10,0.08,0.6,2,0.3334,0.2969,0.8531
tr21,kNN,3,10,0.08,0.6,3,0.3182,0.2942,0.8462
tr21,kNN,3,10,0.08,0.8,1,0.3386,0.3013,0.8639
tr21,kNN,3,10,0.08,0.8,2,0.3379,0.3014,0.8667
tr21,kNN,3,10,0.08,0.8,3,0.3344,0.2971,0.8531
tr21,kNN,3,10,0.08,1,1,0.3447,0.2990,0.8775
tr21,kNN,3,10,0.08,1,2,0.3453,0.2986,0.8775
tr21,kNN,3,10,0.08,1,3,0.3451,0.2985,0.8711
tr21,kNN,3,10,0.08,1.2,1,0.3502,0.2986,0.8875
tr21,kNN,3,10,0.08,1.2,2,0.3503,0.2970,0.8875
tr21,kNN,3,10,0.08,1.2,3,0.3451,0.2985,0.8711
tr21,kNN,3,10,0.08,1.4,1,0.3589,0.2924,0.8927
tr21,kNN,3,10,0.08,1.4,2,0.3554,0.2938,0.8927
tr21,kNN,3,10,0.08,1.4,3,0.3486,0.2976,0.8875
tr21,kNN,3,10,0.08,2,1,0.3541,0.2913,0.9067
tr21,kNN,3,10,0.08,2,2,0.3644,0.2895,0.9033
tr21,kNN,3,10,0.08,2,3,0.3630,0.2890,0.9009
tr21,kNN,3,10,0.06,0.2,1,0.3182,0.2943,0.8521
tr21,kNN,3,10,0.06,0.2,2,0.3177,0.2943,0.8521
tr21,kNN,3,10,0.06,0.2,3,0.3091,0.2960,0.8625
tr21,kNN,3,10,0.06,0.6,1,0.3325,0.2947,0.8516
tr21,kNN,3,10,0.06,0.6,2,0.3369,0.2939,0.8516
tr21,kNN,3,10,0.06,0.6,3,0.3207,0.2932,0.8481
tr21,kNN,3,10,0.06,0.8,1,0.3388,0.2976,0.8639
tr21,kNN,3,10,0.06,0.8,2,0.3382,0.2987,0.8639
tr21,kNN,3,10,0.06,0.8,3,0.3369,0.2940,0.8516
tr21,kNN,3,10,0.06,1,1,0.3497,0.2970,0.8775
tr21,kNN,3,10,0.06,1,2,0.3483,0.2977,0.8775
tr21,kNN,3,10,0.06,1,3,0.3481,0.2970,0.8711
tr21,kNN,3,10,0.06,1.2,1,0.3551,0.2974,0.8898
tr21,kNN,3,10,0.06,1.2,2,0.3552,0.2964,0.8852
tr21,kNN,3,10,0.06,1.2,3,0.3481,0.2970,0.8711
tr21,kNN,3,10,0.06,1.4,1,0.3655,0.2950,0.8948
tr21,kNN,3,10,0.06,1.4,2,0.3607,0.2934,0.8917
tr21,kNN,3,10,0.06,1.4,3,0.3535,0.2953,0.8852
tr21,kNN,3,10,0.06,2,1,0.3749,0.2907,0.9092
tr21,kNN,3,10,0.06,2,2,0.3694,0.2874,0.9050
tr21,kNN,3,10,0.06,2,3,0.3653,0.2899,0.9018
tr21,kNN,3,10,0.04,0.2,1,0.3232,0.2935,0.8521
tr21,kNN,3,10,0.04,0.2,2,0.3215,0.2937,0.8521
tr21,kNN,3,10,0.04,0.2,3,0.3136,0.2948,0.8625
tr21,kNN,3,10,0.04,0.6,1,0.3346,0.2949,0.8516
tr21,kNN,3,10,0.04,0.6,2,0.3381,0.2939,0.8516
tr21,kNN,3,10,0.04,0.6,3,0.3260,0.2923,0.8481
tr21,kNN,3,10,0.04,0.8,1,0.3405,0.2977,0.8653
tr21,kNN,3,10,0.04,0.8,2,0.3395,0.2977,0.8639
tr21,kNN,3,10,0.04,0.8,3,0.3384,0.2941,0.8531
tr21,kNN,3,10,0.04,1,1,0.3494,0.2958,0.8775
tr21,kNN,3,10,0.04,1,2,0.3491,0.2967,0.8763
tr21,kNN,3,10,0.04,1,3,0.3504,0.2964,0.8711
tr21,kNN,3,10,0.04,1.2,1,0.3534,0.2964,0.8841
tr21,kNN,3,10,0.04,1.2,2,0.3541,0.2954,0.8841
tr21,kNN,3,10,0.04,1.2,3,0.3504,0.2964,0.8711
tr21,kNN,3,10,0.04,1.4,1,0.3671,0.2939,0.8937
tr21,kNN,3,10,0.04,1.4,2,0.3604,0.2925,0.8906
tr21,kNN,3,10,0.04,1.4,3,0.3521,0.2947,0.8841
tr21,kNN,3,10,0.04,2,1,0.3762,0.2903,0.9100
tr21,kNN,3,10,0.04,2,2,0.3732,0.2879,0.9025
tr21,kNN,3,10,0.04,2,3,0.3690,0.2883,0.9009
tr21,kNN,3,10,0.02,0.2,1,0.3257,0.2928,0.8521
tr21,kNN,3,10,0.02,0.2,2,0.3227,0.2935,0.8521
tr21,kNN,3,10,0.02,0.2,3,0.3147,0.2950,0.8625
tr21,kNN,3,10,0.02,0.6,1,0.3374,0.2939,0.8547
tr21,kNN,3,10,0.02,0.6,2,0.3392,0.2936,0.8516
tr21,kNN,3,10,0.02,0.6,3,0.3278,0.2920,0.8481
tr21,kNN,3,10,0.02,0.8,1,0.3402,0.2982,0.8653
